"area_name","n","公表日"
"空知",0,2020-01-28
"空知",0,2020-02-14
"空知",0,2020-02-19
"空知",0,2020-02-21
"空知",0,2020-02-22
"空知",0,2020-02-23
"空知",0,2020-02-24
"空知",0,2020-02-25
"空知",0,2020-02-26
"空知",1,2020-02-27
"空知",1,2020-02-28
"空知",0,2020-02-29
"空知",0,2020-03-01
"空知",0,2020-03-02
"空知",0,2020-03-03
"空知",0,2020-03-04
"空知",0,2020-03-05
"空知",0,2020-03-06
"空知",1,2020-03-07
"空知",2,2020-03-08
"空知",0,2020-03-09
"空知",0,2020-03-10
"空知",1,2020-03-11
"空知",0,2020-03-12
"空知",0,2020-03-13
"空知",0,2020-03-14
"空知",1,2020-03-15
"空知",0,2020-03-16
"空知",0,2020-03-18
"空知",0,2020-03-19
"空知",0,2020-03-20
"空知",0,2020-03-21
"空知",0,2020-03-22
"空知",0,2020-03-24
"空知",0,2020-03-25
"空知",0,2020-03-26
"空知",0,2020-03-27
"空知",0,2020-03-28
"空知",0,2020-03-29
"空知",0,2020-03-30
"空知",1,2020-04-01
"空知",0,2020-04-02
"空知",0,2020-04-03
"空知",0,2020-04-04
"空知",0,2020-04-05
"空知",0,2020-04-07
"空知",0,2020-04-08
"空知",0,2020-04-09
"空知",0,2020-04-10
"空知",0,2020-04-11
"空知",0,2020-04-12
"空知",0,2020-04-13
"空知",0,2020-04-14
"空知",2,2020-04-15
"空知",1,2020-04-16
"空知",2,2020-04-17
"空知",0,2020-04-18
"空知",0,2020-04-19
"空知",0,2020-04-20
"空知",0,2020-04-21
"空知",1,2020-04-22
"空知",0,2020-04-23
"空知",1,2020-04-24
"空知",0,2020-04-25
"空知",0,2020-04-26
"空知",0,2020-04-27
"空知",0,2020-04-28
"空知",1,2020-04-29
"空知",1,2020-04-30
"空知",0,2020-05-01
"空知",0,2020-05-02
"空知",0,2020-05-03
"空知",0,2020-05-04
"空知",0,2020-05-05
"空知",0,2020-05-06
"空知",0,2020-05-07
"空知",0,2020-05-08
"空知",0,2020-05-09
"空知",0,2020-05-10
"空知",0,2020-05-11
"空知",2,2020-05-12
"空知",0,2020-05-13
"空知",0,2020-05-14
"空知",0,2020-05-15
"空知",0,2020-05-16
"空知",0,2020-05-17
"空知",0,2020-05-18
"空知",1,2020-05-19
"空知",0,2020-05-20
"空知",1,2020-05-21
"空知",1,2020-05-22
"空知",0,2020-05-23
"空知",1,2020-05-24
"空知",0,2020-05-25
"空知",3,2020-05-26
"空知",2,2020-05-27
"空知",3,2020-05-28
"空知",1,2020-05-29
"空知",1,2020-05-30
"空知",0,2020-05-31
"空知",0,2020-06-01
"空知",2,2020-06-02
"空知",0,2020-06-03
"空知",0,2020-06-04
"空知",0,2020-06-05
"空知",1,2020-06-06
"空知",1,2020-06-07
"空知",0,2020-06-08
"空知",3,2020-06-09
"空知",0,2020-06-10
"空知",1,2020-06-11
"空知",1,2020-06-12
"空知",1,2020-06-13
"空知",0,2020-06-14
"空知",0,2020-06-15
"空知",0,2020-06-16
"空知",0,2020-06-17
"空知",0,2020-06-18
"空知",0,2020-06-19
"空知",0,2020-06-20
"空知",0,2020-06-21
"空知",0,2020-06-22
"空知",1,2020-06-23
"空知",0,2020-06-24
"空知",0,2020-06-25
"空知",0,2020-06-26
"空知",0,2020-06-27
"空知",0,2020-06-28
"空知",0,2020-06-29
"空知",0,2020-06-30
"空知",0,2020-07-01
"空知",0,2020-07-02
"空知",0,2020-07-04
"空知",1,2020-07-05
"空知",0,2020-07-07
"空知",0,2020-07-08
"空知",0,2020-07-09
"空知",0,2020-07-10
"空知",0,2020-07-11
"空知",0,2020-07-12
"空知",0,2020-07-13
"空知",0,2020-07-14
"空知",0,2020-07-15
"空知",0,2020-07-16
"空知",0,2020-07-17
"空知",1,2020-07-18
"空知",0,2020-07-19
"空知",0,2020-07-20
"空知",0,2020-07-21
"空知",0,2020-07-22
"空知",0,2020-07-23
"空知",0,2020-07-24
"空知",0,2020-07-25
