"date","pref","area","area_id","infected"
2020-02-01,"北海道","遠紋",1,0
2020-02-02,"北海道","遠紋",1,0
2020-02-03,"北海道","遠紋",1,0
2020-02-04,"北海道","遠紋",1,0
2020-02-05,"北海道","遠紋",1,0
2020-02-06,"北海道","遠紋",1,0
2020-02-07,"北海道","遠紋",1,0
2020-02-08,"北海道","遠紋",1,0
2020-02-09,"北海道","遠紋",1,0
2020-02-10,"北海道","遠紋",1,0
2020-02-11,"北海道","遠紋",1,0
2020-02-12,"北海道","遠紋",1,0
2020-02-13,"北海道","遠紋",1,0
2020-02-14,"北海道","遠紋",1,0
2020-02-15,"北海道","遠紋",1,0
2020-02-16,"北海道","遠紋",1,0
2020-02-17,"北海道","遠紋",1,0
2020-02-18,"北海道","遠紋",1,0
2020-02-19,"北海道","遠紋",1,0
2020-02-20,"北海道","遠紋",1,0
2020-02-21,"北海道","遠紋",1,0
2020-02-22,"北海道","遠紋",1,0
2020-02-23,"北海道","遠紋",1,0
2020-02-24,"北海道","遠紋",1,0
2020-02-25,"北海道","遠紋",1,0
2020-02-26,"北海道","遠紋",1,0
2020-02-27,"北海道","遠紋",1,0
2020-02-28,"北海道","遠紋",1,0
2020-02-29,"北海道","遠紋",1,0
2020-03-01,"北海道","遠紋",1,0
2020-03-02,"北海道","遠紋",1,0
2020-03-03,"北海道","遠紋",1,0
2020-03-04,"北海道","遠紋",1,0
2020-03-05,"北海道","遠紋",1,0
2020-03-06,"北海道","遠紋",1,0
2020-03-07,"北海道","遠紋",1,0
2020-03-08,"北海道","遠紋",1,0
2020-03-09,"北海道","遠紋",1,0
2020-03-10,"北海道","遠紋",1,0
2020-03-11,"北海道","遠紋",1,0
2020-03-12,"北海道","遠紋",1,0
2020-03-13,"北海道","遠紋",1,0
2020-03-14,"北海道","遠紋",1,0
2020-03-15,"北海道","遠紋",1,0
2020-03-16,"北海道","遠紋",1,0
2020-03-17,"北海道","遠紋",1,0
2020-03-18,"北海道","遠紋",1,0
2020-03-19,"北海道","遠紋",1,0
2020-03-20,"北海道","遠紋",1,0
2020-03-21,"北海道","遠紋",1,0
2020-03-22,"北海道","遠紋",1,0
2020-03-23,"北海道","遠紋",1,0
2020-03-24,"北海道","遠紋",1,0
2020-03-25,"北海道","遠紋",1,0
2020-03-26,"北海道","遠紋",1,0
2020-03-27,"北海道","遠紋",1,0
2020-03-28,"北海道","遠紋",1,0
2020-03-29,"北海道","遠紋",1,0
