"発表日","市区町村","n","都道府県"
2020-01-29,"大阪市",1,"大阪府"
2020-02-27,"大阪市",1,"大阪府"
2020-02-28,"大阪市",2,"大阪府"
2020-03-02,"大阪市",2,"大阪府"
2020-03-03,"大阪市",1,"大阪府"
2020-03-03,"枚方市",1,"大阪府"
2020-03-04,"守口市",1,"大阪府"
2020-03-04,"松原市",1,"大阪府"
2020-03-04,"吹田市",1,"大阪府"
2020-03-04,"大阪市",2,"大阪府"
2020-03-04,"東大阪市",2,"大阪府"
2020-03-04,"枚方市",1,"大阪府"
2020-03-04,"箕面市",1,"大阪府"
2020-03-05,"大東市",1,"大阪府"
2020-03-06,"高槻市",2,"大阪府"
2020-03-06,"堺市",1,"大阪府"
2020-03-06,"吹田市",3,"大阪府"
2020-03-06,"大阪市",7,"大阪府"
2020-03-07,"茨木市",1,"大阪府"
2020-03-07,"堺市",2,"大阪府"
2020-03-07,"摂津市",1,"大阪府"
2020-03-07,"東大阪市",3,"大阪府"
2020-03-07,"豊中市",1,"大阪府"
2020-03-07,"箕面市",1,"大阪府"
2020-03-07,"門真市",1,"大阪府"
2020-03-08,"守口市",1,"大阪府"
2020-03-08,"大阪市",10,"大阪府"
2020-03-08,"八尾市",1,"大阪府"
2020-03-08,"豊中市",2,"大阪府"
2020-03-10,"茨木市",1,"大阪府"
2020-03-10,"貝塚市",1,"大阪府"
2020-03-10,"高槻市",1,"大阪府"
2020-03-10,"大阪市",9,"大阪府"
2020-03-10,"大阪府外",1,"大阪府"
2020-03-10,"東大阪市",1,"大阪府"
2020-03-10,"八尾市",2,"大阪府"
2020-03-10,"豊中市",1,"大阪府"
2020-03-10,"枚方市",1,"大阪府"
2020-03-11,"松原市",1,"大阪府"
2020-03-11,"吹田市",1,"大阪府"
2020-03-11,"大阪市",1,"大阪府"
2020-03-11,"池田市",1,"大阪府"
2020-03-11,"豊中市",3,"大阪府"
2020-03-12,"吹田市",1,"大阪府"
2020-03-12,"大阪市",3,"大阪府"
2020-03-12,"大阪府外",1,"大阪府"
2020-03-12,"八尾市",2,"大阪府"
2020-03-12,"和泉市",2,"大阪府"
2020-03-13,"吹田市",1,"大阪府"
2020-03-13,"池田市",1,"大阪府"
2020-03-13,"豊中市",1,"大阪府"
2020-03-14,"茨木市",1,"大阪府"
2020-03-14,"吹田市",2,"大阪府"
2020-03-14,"泉佐野市",1,"大阪府"
2020-03-14,"大阪市",3,"大阪府"
2020-03-14,"大東市",1,"大阪府"
2020-03-14,"八尾市",1,"大阪府"
2020-03-14,"門真市",1,"大阪府"
2020-03-15,"堺市",1,"大阪府"
2020-03-15,"大阪市",3,"大阪府"
2020-03-16,"大東市",2,"大阪府"
2020-03-17,"泉佐野市",1,"大阪府"
2020-03-17,"大阪市",3,"大阪府"
2020-03-18,"高槻市",1,"大阪府"
2020-03-18,"泉佐野市",2,"大阪府"
2020-03-18,"池田市",2,"大阪府"
2020-03-19,"吹田市",1,"大阪府"
2020-03-19,"大阪市",1,"大阪府"
2020-03-20,"吹田市",2,"大阪府"
2020-03-20,"大阪市",2,"大阪府"
2020-03-21,"岸和田市",1,"大阪府"
2020-03-21,"堺市",1,"大阪府"
2020-03-22,"大阪市",2,"大阪府"
2020-03-22,"八尾市",1,"大阪府"
2020-03-22,"枚方市",3,"大阪府"
2020-03-23,"岸和田市",1,"大阪府"
2020-03-23,"泉大津市",1,"大阪府"
2020-03-23,"大阪市",1,"大阪府"
2020-03-24,"堺市",1,"大阪府"
2020-03-24,"吹田市",1,"大阪府"
2020-03-24,"大阪市",3,"大阪府"
2020-03-24,"八尾市",1,"大阪府"
2020-03-24,"豊中市",1,"大阪府"
2020-03-24,"箕面市",1,"大阪府"
2020-03-25,"羽曳野市",2,"大阪府"
2020-03-25,"堺市",1,"大阪府"
2020-03-25,"大阪市",1,"大阪府"
2020-03-25,"大阪府外",1,"大阪府"
2020-03-25,"東大阪市",1,"大阪府"
2020-03-25,"箕面市",1,"大阪府"
2020-03-26,"高槻市",1,"大阪府"
2020-03-26,"吹田市",1,"大阪府"
2020-03-26,"大阪市",3,"大阪府"
2020-03-26,"豊中市",1,"大阪府"
2020-03-26,"門真市",1,"大阪府"
2020-03-27,"茨木市",1,"大阪府"
2020-03-27,"河内長野市",1,"大阪府"
2020-03-27,"高槻市",1,"大阪府"
2020-03-27,"堺市",1,"大阪府"
2020-03-27,"吹田市",1,"大阪府"
2020-03-27,"大阪市",12,"大阪府"
2020-03-27,"大阪府外",1,"大阪府"
2020-03-27,"大東市",1,"大阪府"
2020-03-27,"田尻町",1,"大阪府"
2020-03-28,"岸和田市",1,"大阪府"
2020-03-28,"守口市",1,"大阪府"
2020-03-28,"松原市",1,"大阪府"
2020-03-28,"吹田市",1,"大阪府"
2020-03-28,"大阪市",8,"大阪府"
2020-03-28,"大阪府外",1,"大阪府"
2020-03-28,"東大阪市",1,"大阪府"
2020-03-28,"豊中市",1,"大阪府"
2020-03-29,"茨木市",1,"大阪府"
2020-03-29,"岸和田市",1,"大阪府"
2020-03-29,"堺市",3,"大阪府"
2020-03-29,"寝屋川市",1,"大阪府"
2020-03-29,"吹田市",2,"大阪府"
2020-03-29,"泉大津市",1,"大阪府"
2020-03-29,"大阪市",5,"大阪府"
2020-03-29,"藤井寺市",1,"大阪府"
2020-03-29,"門真市",2,"大阪府"
2020-03-30,"岸和田市",1,"大阪府"
2020-03-30,"大阪市",4,"大阪府"
2020-03-30,"東大阪市",1,"大阪府"
2020-03-30,"箕面市",1,"大阪府"
2020-03-30,"門真市",1,"大阪府"
2020-03-31,"交野市",1,"大阪府"
2020-03-31,"高槻市",1,"大阪府"
2020-03-31,"堺市",2,"大阪府"
2020-03-31,"寝屋川市",1,"大阪府"
2020-03-31,"吹田市",1,"大阪府"
2020-03-31,"大阪市",13,"大阪府"
2020-03-31,"大東市",5,"大阪府"
2020-03-31,"箕面市",2,"大阪府"
2020-03-31,"門真市",2,"大阪府"
2020-04-01,"熊取町",1,"大阪府"
2020-04-01,"堺市",1,"大阪府"
2020-04-01,"吹田市",1,"大阪府"
2020-04-01,"大阪市",25,"大阪府"
2020-04-01,"大阪府外",2,"大阪府"
2020-04-01,"豊中市",2,"大阪府"
2020-04-01,"門真市",1,"大阪府"
2020-04-01,"和泉市",1,"大阪府"
2020-04-02,"茨木市",2,"大阪府"
2020-04-02,"河内長野市",1,"大阪府"
2020-04-02,"堺市",3,"大阪府"
2020-04-02,"吹田市",1,"大阪府"
2020-04-02,"大阪市",14,"大阪府"
2020-04-02,"大東市",1,"大阪府"
2020-04-02,"東大阪市",1,"大阪府"
2020-04-02,"柏原市",1,"大阪府"
2020-04-02,"八尾市",1,"大阪府"
2020-04-02,"豊中市",2,"大阪府"
2020-04-02,"枚方市",1,"大阪府"
2020-04-02,"箕面市",1,"大阪府"
2020-04-02,"門真市",1,"大阪府"
2020-04-02,"和泉市",3,"大阪府"
2020-04-03,"茨木市",1,"大阪府"
2020-04-03,"高槻市",1,"大阪府"
2020-04-03,"堺市",4,"大阪府"
2020-04-03,"守口市",2,"大阪府"
2020-04-03,"吹田市",1,"大阪府"
2020-04-03,"大阪市",19,"大阪府"
2020-04-03,"大阪府外",1,"大阪府"
2020-04-03,"池田市",1,"大阪府"
2020-04-03,"柏原市",1,"大阪府"
2020-04-03,"八尾市",1,"大阪府"
2020-04-03,"豊中市",1,"大阪府"
2020-04-03,"門真市",1,"大阪府"
2020-04-03,"和泉市",1,"大阪府"
2020-04-04,"河内長野市",1,"大阪府"
2020-04-04,"岸和田市",1,"大阪府"
2020-04-04,"高槻市",1,"大阪府"
2020-04-04,"堺市",1,"大阪府"
2020-04-04,"四條畷市",1,"大阪府"
2020-04-04,"守口市",1,"大阪府"
2020-04-04,"吹田市",2,"大阪府"
2020-04-04,"大阪市",21,"大阪府"
2020-04-04,"東大阪市",4,"大阪府"
2020-04-04,"八尾市",2,"大阪府"
2020-04-04,"豊中市",1,"大阪府"
2020-04-04,"枚方市",1,"大阪府"
2020-04-04,"箕面市",1,"大阪府"
2020-04-04,"和泉市",3,"大阪府"
2020-04-05,"岸和田市",1,"大阪府"
2020-04-05,"高石市",1,"大阪府"
2020-04-05,"堺市",4,"大阪府"
2020-04-05,"守口市",1,"大阪府"
2020-04-05,"大阪市",12,"大阪府"
2020-04-05,"箕面市",1,"大阪府"
2020-04-05,"和泉市",1,"大阪府"
2020-04-06,"茨木市",1,"大阪府"
2020-04-06,"岸和田市",1,"大阪府"
2020-04-06,"堺市",1,"大阪府"
2020-04-06,"四條畷市",1,"大阪府"
2020-04-06,"吹田市",2,"大阪府"
2020-04-06,"大阪市",5,"大阪府"
2020-04-06,"大東市",3,"大阪府"
2020-04-06,"東大阪市",2,"大阪府"
2020-04-06,"八尾市",1,"大阪府"
2020-04-06,"和泉市",3,"大阪府"
2020-04-07,"茨木市",1,"大阪府"
2020-04-07,"岸和田市",1,"大阪府"
2020-04-07,"交野市",2,"大阪府"
2020-04-07,"高槻市",3,"大阪府"
2020-04-07,"堺市",1,"大阪府"
2020-04-07,"吹田市",3,"大阪府"
2020-04-07,"摂津市",2,"大阪府"
2020-04-07,"大阪市",24,"大阪府"
2020-04-07,"大東市",4,"大阪府"
2020-04-07,"東大阪市",1,"大阪府"
2020-04-07,"八尾市",1,"大阪府"
2020-04-07,"枚方市",5,"大阪府"
2020-04-07,"箕面市",1,"大阪府"
2020-04-07,"門真市",2,"大阪府"
2020-04-07,"和泉市",2,"大阪府"
2020-04-08,"羽曳野市",1,"大阪府"
2020-04-08,"高槻市",3,"大阪府"
2020-04-08,"堺市",2,"大阪府"
2020-04-08,"守口市",1,"大阪府"
2020-04-08,"寝屋川市",1,"大阪府"
2020-04-08,"大阪狭山市",1,"大阪府"
2020-04-08,"大阪市",25,"大阪府"
2020-04-08,"東大阪市",1,"大阪府"
2020-04-08,"能勢町",2,"大阪府"
2020-04-08,"八尾市",1,"大阪府"
2020-04-08,"豊中市",3,"大阪府"
2020-04-08,"箕面市",2,"大阪府"
2020-04-09,"茨木市",3,"大阪府"
2020-04-09,"河内長野市",1,"大阪府"
2020-04-09,"岸和田市",6,"大阪府"
2020-04-09,"交野市",4,"大阪府"
2020-04-09,"高槻市",1,"大阪府"
2020-04-09,"堺市",10,"大阪府"
2020-04-09,"松原市",2,"大阪府"
2020-04-09,"吹田市",3,"大阪府"
2020-04-09,"大阪市",35,"大阪府"
2020-04-09,"大阪府外",1,"大阪府"
2020-04-09,"大東市",4,"大阪府"
2020-04-09,"池田市",2,"大阪府"
2020-04-09,"東大阪市",4,"大阪府"
2020-04-09,"八尾市",4,"大阪府"
2020-04-09,"豊中市",2,"大阪府"
2020-04-09,"箕面市",1,"大阪府"
2020-04-09,"門真市",1,"大阪府"
2020-04-09,"和泉市",8,"大阪府"
2020-04-10,"羽曳野市",2,"大阪府"
2020-04-10,"高槻市",2,"大阪府"
2020-04-10,"堺市",4,"大阪府"
2020-04-10,"松原市",2,"大阪府"
2020-04-10,"吹田市",1,"大阪府"
2020-04-10,"泉大津市",2,"大阪府"
2020-04-10,"泉南市",1,"大阪府"
2020-04-10,"大阪狭山市",2,"大阪府"
2020-04-10,"大阪市",36,"大阪府"
2020-04-10,"大阪府外",2,"大阪府"
2020-04-10,"大東市",6,"大阪府"
2020-04-10,"池田市",1,"大阪府"
2020-04-10,"東大阪市",2,"大阪府"
2020-04-10,"藤井寺市",1,"大阪府"
2020-04-10,"柏原市",1,"大阪府"
2020-04-10,"非公表",2,"大阪府"
2020-04-10,"富田林市",1,"大阪府"
2020-04-10,"豊中市",2,"大阪府"
2020-04-10,"枚方市",3,"大阪府"
2020-04-10,"箕面市",3,"大阪府"
2020-04-10,"門真市",3,"大阪府"
2020-04-10,"和泉市",1,"大阪府"
2020-04-11,"堺市",11,"大阪府"
2020-04-11,"守口市",1,"大阪府"
2020-04-11,"松原市",1,"大阪府"
2020-04-11,"寝屋川市",1,"大阪府"
2020-04-11,"吹田市",3,"大阪府"
2020-04-11,"摂津市",1,"大阪府"
2020-04-11,"大阪狭山市",1,"大阪府"
2020-04-11,"大阪市",33,"大阪府"
2020-04-11,"大阪府外",1,"大阪府"
2020-04-11,"大東市",1,"大阪府"
2020-04-11,"池田市",1,"大阪府"
2020-04-11,"東大阪市",3,"大阪府"
2020-04-11,"柏原市",1,"大阪府"
2020-04-11,"八尾市",2,"大阪府"
2020-04-11,"豊中市",4,"大阪府"
2020-04-11,"枚方市",1,"大阪府"
