"発表日","市区町村","n","都道府県"
"2020/10/1","あきる野市",0,"東京都"
"2020/10/10","あきる野市",1,"東京都"
"2020/10/11","あきる野市",2,"東京都"
"2020/10/12","あきる野市",0,"東京都"
"2020/10/13","あきる野市",0,"東京都"
"2020/10/14","あきる野市",0,"東京都"
"2020/10/15","あきる野市",0,"東京都"
"2020/10/16","あきる野市",0,"東京都"
"2020/10/17","あきる野市",0,"東京都"
"2020/10/18","あきる野市",0,"東京都"
"2020/10/19","あきる野市",0,"東京都"
"2020/10/2","あきる野市",0,"東京都"
"2020/10/20","あきる野市",2,"東京都"
"2020/10/21","あきる野市",0,"東京都"
"2020/10/22","あきる野市",0,"東京都"
"2020/10/23","あきる野市",0,"東京都"
"2020/10/24","あきる野市",0,"東京都"
"2020/10/25","あきる野市",0,"東京都"
"2020/10/26","あきる野市",0,"東京都"
"2020/10/27","あきる野市",0,"東京都"
"2020/10/28","あきる野市",0,"東京都"
"2020/10/29","あきる野市",0,"東京都"
"2020/10/3","あきる野市",0,"東京都"
"2020/10/30","あきる野市",1,"東京都"
"2020/10/31","あきる野市",0,"東京都"
"2020/10/4","あきる野市",0,"東京都"
"2020/10/5","あきる野市",0,"東京都"
"2020/10/6","あきる野市",0,"東京都"
"2020/10/7","あきる野市",0,"東京都"
"2020/10/8","あきる野市",0,"東京都"
"2020/10/9","あきる野市",0,"東京都"
"2020/11/1","あきる野市",1,"東京都"
"2020/11/2","あきる野市",0,"東京都"
"2020/11/3","あきる野市",1,"東京都"
"2020/11/4","あきる野市",0,"東京都"
"2020/11/5","あきる野市",0,"東京都"
"2020/11/6","あきる野市",1,"東京都"
"2020/11/7","あきる野市",3,"東京都"
"2020/11/8","あきる野市",0,"東京都"
"2020/11/9","あきる野市",0,"東京都"
"2020/3/31","あきる野市",0,"東京都"
"2020/4/1","あきる野市",0,"東京都"
"2020/4/10","あきる野市",1,"東京都"
"2020/4/11","あきる野市",0,"東京都"
"2020/4/13","あきる野市",0,"東京都"
"2020/4/14","あきる野市",0,"東京都"
"2020/4/16","あきる野市",1,"東京都"
"2020/4/17","あきる野市",0,"東京都"
"2020/4/18","あきる野市",0,"東京都"
"2020/4/19","あきる野市",1,"東京都"
"2020/4/2","あきる野市",0,"東京都"
"2020/4/20","あきる野市",3,"東京都"
"2020/4/21","あきる野市",0,"東京都"
"2020/4/22","あきる野市",0,"東京都"
"2020/4/23","あきる野市",1,"東京都"
"2020/4/24","あきる野市",1,"東京都"
"2020/4/25","あきる野市",1,"東京都"
"2020/4/26","あきる野市",0,"東京都"
"2020/4/27","あきる野市",0,"東京都"
"2020/4/28","あきる野市",1,"東京都"
"2020/4/29","あきる野市",0,"東京都"
"2020/4/3","あきる野市",0,"東京都"
"2020/4/30","あきる野市",7,"東京都"
"2020/4/4","あきる野市",0,"東京都"
"2020/4/5","あきる野市",1,"東京都"
"2020/4/6","あきる野市",0,"東京都"
"2020/4/7","あきる野市",0,"東京都"
